Генератор;Длина (бит);Частотный тест (p-value);Тест прогонов (p-value);Тест на длинную серию (p-value);Результат
C (rand);1000000;0.736871;0.548431;0.501777;пройден
C++ (mt19937);1000000;0.142104;0.771697;0.804719;пройден
Python (secrets);1000000;0.437749;0.279520;0.726009;пройден
